"ID(String)","Name(String)"
CH,Cumulative Effect of Prior Period Adjustment
CI,Cumulative Gas Injection Volume
CL,Cumulative Liquid Injection Volume
CN,Continuance Duration
CO,Cumulative Oil/Condensate Volume
CP,Current Period Imbalance
CR,Certified Registered Nurse Anesthetist (CRNA) Number of Concurrent Procedures
CS,Current Service Life
CW,Cumulative Water Volume
CY,Convictions Sent
CZ,Total Number of Convictions
D0,Engineers
D1,Billed
D2,Executives
D3,Number of Co-insurance Days
D4,Field Workers
D5,Installers
D6,Members in Group
D7,Non-Consolidated Total-Domestic Subsidiaries
D8,Non-Consolidated Total-Foreign Subsidiaries
D9,Non-Union Employees
DA,Dependent's Age
DB,Deductible Blood Units
DC,Dependent Count
DD,Distributed
DE,Debited
DF,Deleted
DG,Gas Used for Drilling
DH,Maximum Benefit Period Accident to Age
DI,Disposed
DJ,Maximum Benefit Period Sickness to Age
DK,Airline Attendants
DL,Companies Included in Consolidation
DM,Total Consolidated Domestic Subsidiaries
DN,Default Notification Response Period
DO,Days Operated
DP,Days Produced
DQ,Total Consolidated Foreign Subsidiaries
DR,Direct Workers
DS,Dose
DT,Dependent Total
DU,Counter Clerks
DW,Domestic Affiliated Companies
DX,Drivers
DY,Days
DZ,Employed at Location
E1,Course Segments
E2,Degree Segments
E3,Employed on this job
E4,Employed in this Profession
E5,Employed by this Company
E8,Number of Entitled Exemptions
E9,Number of Withholding Exemptions
EA,Exclusive Uses
EB,Nonexclusive Uses
EC,Use of Extracorporeal Circulation
ED,Domestic Uses
EE,Small Business Uses
EF,Nurses
EG,Office Workers
EH,Paid in Common Shares
EI,Paid in Preferred Shares
EJ,Pilots
EK,Plant Workers
EL,Principals Included as Employees
EM,Emergency Modifying Units
EN,Suppliers
EO,Teachers
EP,Product Exchange Amount
EQ,Equity Security Holder
ER,Estimated Remaining Economic Life
ES,Ending Stock
ET,Employee Total
EU,Total Consolidated Subsidiaries
EV,Total Non-Consolidated Subsidiaries
EW,Evaporated Water
EX,Union Employees
EY,Ported Telephone Lines
EZ,Service Resale
F0,Total claims with skin diseases or disorders
F1,Off Lease Fuel
F3,Total deaths as a Result of Injury
F4,Total deaths as a Result of Illness
F5,Total injury Claims with Days Away from Work or Restricted Work Activity
F6,Total injury Claims with Days Away from Work
F7,Total injury Claims without Lost Work Days
F8,Total Days Away from Work Due to Injury
F9,Total Days with Restricted Work Activity Due to Injury
FA,Full Baths
FB,Furnished Blood Units
FC,Fuel Consumed or Burned Amount
FD,Vehicular Radios
FE,Portable Radios
FF,Flare or Flash
FG,Marine Radios
FH,Pagers
FI,Conventional Mobiles
FJ,Trunked Channels
FK,Mobile Loading Allocation
FL,Units
FM,Aircraft Radios
FN,Total Claims with Dust Diseases of the Lungs
FO,Total Claims with Respiratory Conditions Due to Toxic Agents
FP,Total Claims with Poisoning Illnesses
FQ,Total Claims with Disorders Due to Physical Agents
FS,Gas Used for Fuel System
FT,Forecast to Complete
FU,Total Claims Associated with Repeated Trauma
FV,Total illness Claims with occupational illnesses not otherwise classified
FW,Total Days Away from Work Due to Illness
FX,Total Days of Restricted Work Activity Due to Illness
FY,Total illness with Lost Work Days or Restricted Work Activity
FZ,Total illness Claims with Days Away from Work
G0,Discharge Quantity
G1,Estimated Discharge Quantity
G2,Estimated Transfer Quantity
G3,Excursions
G4,Non-production Quantity
G5,Number of Deaths
G6,Number of Hospitalizations
G7,Number of Injuries
G8,Number of Injuries Requiring Medical Treatment
G9,Number of People Evacuated
GA,Gross Building Area
GB,Gross Annual Income Multiplier
GC,Gross Living Area
GD,Total illness Claims without Lost Work Days
GE,Original Term In Years
GF,Years Remaining
GG,Average Number of Employees
GH,Total Worked by All Employees
GI,Gas Injection Volume
GL,Gas Lift Volume
GP,Gross Production
GQ,Government Reporting Quantity
GR,Gas Receipt Volume
GS,Gas Sold
GT,Grade Transfer Amount
GU,Employee Total First Month of Quarter
GV,Gas Volume
GW,Employee Total Second Month of Quarter
GX,Employee Total Third Month of Quarter
GZ,Active Listings
H0,Number of People Sheltered-in-Place
H1,Quantity Recovered
H2,Quantity Recycled
H3,Quantity Released
H4,Quantity Treated
H5,Total Hazardous Waste Generated
H6,Operational Quantity
H7,Penalty Variance Quantity
H8,Allocated Quantity
H9,Scheduled Quantity
HA,Market Price Change
HB,Unpaid
HC,Branches
HD,Subsidiaries
HE,Age of Financial Information
HF,Invoices
HG,Financial Coverage Period
HH,Maximum Number of Employees at Location
HI,Previous Number of Accounts
HJ,Collection Period
HK,Disbursement Period
HL,Seats
HM,Use of Hypothermia
HN,Previous Number of Employees
HO,Use of Hypotension
HP,Use of Hyperbaric Pressurization
HQ,Kindergarten Students
HR,Use of Hypertension
HS,Hours
HT,Employee's Age
HU,Employee's Number of Days Away from Work Due to Injury
HV,Employee's Number of Days of Restricted Work Activity Due to Injury
HW,Employee's Total Number of Days Away from Work Due to Illness
HY,Total Death Claims
HZ,Total Claims with Days Away from Work
I0,Tenth Grade Students
I1,Eleventh Grade Students
I2,Twelfth Grade Students
I3,Prior Teaching Experience
I4,Prior Full-time Teaching Experience
I5,Prior Part-time Teaching Experience
I6,Prior Experience in Education
I7,Prior Full-time Experience in Education
I8,Prior Part-time Experience in Education
I9,Prior Experience Related to Job
IA,Local Country Employees
IB,Foreign Employees
IC,Prior Full-time Experience Related to Job
ID,Prior Part-time Experience Related to Job
IE,Total Prior Experience
IF,Total Full-time Prior Experience
IG,Total Part-time Prior Experience
IH,Total Years of Educational Service
II,Number of Irregular Interest Payments
IJ,Total Years of Educational Service in this District
IK,Years of Experience as School Principal
IL,Years of Experience as Classroom Teacher
IM,Years Worked for this System
IN,Indirect Workers
IP,Number of Interest Payments
IQ,In-Transit Quantity
IS,Information Provider Standardized Motor Vehicle Penalty Points
IT,Intertank Transfer Amount
J0,Ending Storage Balance
J1,Location Ending Storage Balance
J2,Location Ending Storage Balance - Firm
J3,Location Ending Storage Balance - Interruptible
J4,Maximum Available Daily Injection Quantity
J5,Maximum Available Daily Withdrawal Quantity
J6,Minimum Required Daily Injection Quantity
J7,Minimum Required Daily Withdrawal Quantity
JA,Activity Codes
JB,Associates
JC,Average Employees
JD,Cooperative Shares
JE,Estimated Employees at Location
JF,Estimated Total Employees
JG,Financial Institutions
JH,Judgments
JI,Land Size
JJ,Liens
JK,Minimum Employees at Location
JL,Office Size
JM,Owner
JN,Plant Size
JO,Previous Number of Branches
JP,Protested Bills
JQ,Suits
JR,Uniform Commercial Code (UCC) Filings
JS,Judicial Stay Duration
JT,Warehouse Size
JU,Total Days Away from Work
JV,Total Days of Restricted Work Activity
JW,Total Claims without Days Away from Work and without Restricted Work Activity
JX,Secretaries
JY,Mechanics
JZ,Auditors
K1,Messengers
K2,Primary Managers
K3,Participation Shares
K4,Detrimental Legal Filings
K5,Petitions Filed
K6,Drafts
K7,Business Failure National Average Incidence
K8,Business Failure Industry Incidence
K9,Business Failure Class Incidence
KA,Estimated
KB,Net Quantity Increase
KC,Net Quantity Decrease
KD,Expenditure Quantity
KE,Originals
KF,Duplicates
KG,Completed Line Items
KH,Completed Contracts
KI,Active Contracts Delinquent-Buying Party Caused
KJ,Active Contracts Delinquent
KK,Active Contracts Delinquent-Contractor Caused
KL,Active Contracts Delinquent-Unknown Causes
KM,Active Line Items Delinquent
KN,Active Line Items Delinquent-Buying Party Caused
KO,Active Line Items Delinquent-Contractor Caused
KP,Active Line Items Delinquent-Unknown Causes
KQ,Contracts Completed Delinquent-Buying Party Caused
KR,Contract Completed Delinquent-Contractor Caused
KS,Contracts Completed Delinquent-Unknown Causes
KU,Reported Deficiencies
KV,Line Items Completed Delinquent-Buying Party Caused
KW,Line Items Completed Delinquent-Contractor Caused
KX,Line Items Completed Delinquent-Unknown Causes
KY,Corrective Action Requests-Verbal
KZ,Corrective Action Requests-Written
L2,Guarantee Fee Buyup Maximum
L3,Contract Buyup
L4,Contract Buydown
L5,Guarantee Fee Rate after Alternate Payment Method
L6,Guarantee Fee Rate after Buyup or Buydown
L7,Buyup or Buydown Rate per Basis Point
L9,Subject to loss or elimination
LA,Life-time Reserve - Actual
LB,Loss Allowance
LC,Late Payment Period
LE,Life-time Reserve - Estimated
LG,Loss or Gain
LH,Lost Gas
LI,Liquid Injection Volume
LK,Corrective Action Requests-Method C
LL,Corrective Action Requests-Method D
LM,Corrective Action Requests-Method E
LN,Aged Active Line Items Delinquent-Contractor Caused
LO,Lost Oil
LP,Lease Periods
LQ,Aged Line Items Delinquent
LR,Aged Line Items Completed-Contractor Caused
LS,Oil Condensate Sold
LT,Tariff Loss Allowance
LU,Lifetime Reserve Days - Applied to this Claim
LV,Oil/Condensate Volume
LW,Lost Work Time Actual
LX,Lost Work Time Estimated
LY,Length of Residency
LZ,Lanes
M1,Matching Equipment
M2,Maximum
M3,Total Federal Points
M4,Contributions
M5,Contributors
M6,Endorsers
M7,Functions
M8,Guarantors
M9,Points
MA,Miscellaneous Allowance
MB,Number of Public Officials
MC,Total Non-Federal Points
MD,Million Dollar Roundtable Credits
ME,Minimum Number of Employees
MF,Manufactured
MG,Pledges
MH,Total Points
MI,Miles
MJ,Attendees
MK,Tickets Sold
MM,Maximum Maturity Extension
MN,Month
MO,Minimum Order Package Level
MQ,Maximum Ship Quantity
MS,Measured Quantity
MX,Maximum Number of Employees
N1,Number of Attacks or Occurrences
N2,Number of Dead
N3,Number of Living
N4,Number of Times
N5,Minimum Forecast Quantity
N6,Maximum Forecast Quantity
NA,Number of Non-covered Days
NB,Number of Units (Housing)
NC,Number of Claimants
ND,Number of Late Charges
NE,Non-Covered - Estimated
NF,Number of Full-Time Employees
NG,Number of Nonsufficient Fund Items
NH,Noncovered - Actual
NL,Number of Levels
NN,Number of Hospitals
NO,Number of Physicians
NP,Number of Members
NQ,Number of Franchisees
NR,Not Replaced Blood Units
NS,Number of Stations
NT,Reports
NU,Since Last Travel
NV,Net
NW,Until Next Travel
O1,Scheduled Receipt
O2,Scheduled Delivery
O3,Operational Receipt
O4,Operational Delivery
O5,Allocated Receipt
O6,Allocated Delivery
O7,Distributed Confirmed Receipt
O8,Distributed Confirmed Delivery
O9,Scheduling Tolerance Receipt
OA,Scheduling Tolerance Delivery
OB,Energy
OC,Order Count
OD,Other Miscellaneous Disposition
OE,Number of Weeks Per Year
OF,Off Premise Sales Quantity
OG,Other Gas Disposition
OH,Other Injection Volume
OI,Opening Statement Balance
OL,Original Loan Term
ON,On Premise Sales Quantity
OO,Other Oil Condensate Disposition
OQ,Optimum Order Quantity
OR,Original
OT,Number of Operating Periods at Failure
OU,Outlier Days
OV,Overage
OW,Other Water Disposition
P1,Project Phases
P3,Physical Status III
P4,Physical Status IV
P5,Physical Status V
P6,Number of Services or Procedures
P7,Prescription Dosage
P8,Prescription Frequency
P9,Number of People Living at Residence
PA,Pipeline Adjustment or Allowance
PB,Pressure Base
PC,Prior Cumulative Imbalance
PD,Payment Duration Weeks
PE,Period of Employment
PF,Gas Used for Plant Fuel
PG,Persistency
PH,Promotional
PK,Parking Spaces
PL,Partial Baths
PO,Percentage of Ordered Quantity
PP,Purchase of Product
PQ,Cumulative Quantity Required Prior to the First Scheduled Period
PR,Requirement Quantity that was Previously Released
PS,Prescription
PT,Patients
PW,Pitted Water
PX,Prior Units Accepted
PY,Paid
Q1,Minimum quantity to which tax rate applies
Q2,Maximum quantity to which tax rate applies
Q3,Quantity Earned
Q4,Quantity Carried Forward
Q5,Number of 3 to 4 Year Olds
Q6,Autistic Individuals
Q7,Deaf-blind Individuals
Q8,Hearing Impaired Individuals
Q9,Mentally Retarded Individuals
QA,Quantity Approved
QB,Quantity Dispensed
QC,Quantity Disapproved
QD,Quantity Delivered
QE,Quantity Deferred
QF,High Fabrication Authorization Quantity
QH,Quantity on Hold
QI,Community Service Duration
QJ,Number of Times Deported
QL,Jail Sentence Duration
QM,Probation Duration
QN,Restriction Duration
QO,Operating Quantity
QP,Quantity by Position
QQ,Suspended Duration
QR,High Raw Material Authorization Quantity
QS,Quantity Per Skid
QT,Plant Thermal Reduction
QU,Quantity Serviced
QV,Quantity Cancelled
QW,Quantity Withdrawn
QX,Qualifying Weeks
QY,Repayment Plan Term
R1,Replenishment (Fill)
R2,Individuals with Orthopedic Impairment
R3,Estimated Remaining Physical Life
R4,Individuals with Specific Learning Disability
R5,Axles
R6,Platform Count
R7,Individuals with Visual Impairment
R8,Individuals with Other Health Impairment
R9,Fuel
RA,Refills Authorized
RB,Replaced Blood Units
RC,Number of Items Authorized at Store
RD,Number of Items Authorized at Warehouse
RE,Gas Returned to Earth
RF,Number of Items in Stock
RG,Gas Used for Repressuring or Pressure Maintenance
RH,Number of Shelf Tags
RJ,Quantity Available on Shelf
RL,Gas Returned to Property for fuel
RM,Room Count
RN,Units Rented
RQ,Royalty
RS,Number of Shelf Facings
RT,Retail Sales Quantity
RW,Water Re-injected on Property
RY,Requirement Quantity
S1,Planned Unit Development (PUD) Units
S2,"Rooms
S3,Dwelling Area
S4,Garage or Carport Area
S5,Units for Sale
S6,Gross Rent Multiplier
S7,"Age
S8,"Age
S9,"Bedrooms
SA,Shipments
SB,Solicited
SC,"Bathrooms
SD,Criminal Sentence Duration
SE,"Gross Living
SF,Site
SG,Swan-Ganz
SH,Shortage
SI,Rooms
SJ,Area of Level
SK,Gas Shrinkage
SL,Predominate Age
SM,Minimum Criminal Sentence Duration
SN,Age
SO,Oil Sedimentation
SP,Days Supply
SQ,Product Sales Amount
SR,Effective Age
SS,Shares of Preferred Stock
ST,Standard
SU,Forecasted Scanned Quantity
SV,Shares of Common Stock
SW,Sample Amount
SX,Maximum Criminal Sentence Duration
SY,State or Province Motor Vehicle Penalty Points
SZ,Seasonal
T1,Time Units Known
T2,Time Units Spent on Duty
T3,Total Days on Market
T4,Total Rooms
T5,Total Number of Units
T6,Total Number of Units for Sale
T7,Tires
TA,Tank Allowance
TB,Oil Theft
TC,Total at Complete
TD,Total to Date
TE,Number of Theatres
TG,Total Gas Injection Volume
TH,Theoretical Quantity
TI,Total Oil and/or Condensate Injection Volume
TJ,Duration in Current Job
TK,Total Oil and/or Condensate Disposition
TM,Total Water Disposition
TN,Total Beginning Inventory
TO,Total
TP,Time in Position
TR,Trips
TS,Total Number of Parking Spaces
TT,Total Production Volume
TU,Total Adjustments Volume
TV,Total Gas Disposition
TW,Total Water Injection Volume
TX,Total Ending Inventory
TY,Total Sales Volume
U1,Freelance Collectors
U2,Branch Locations Owned
U3,Branch Locations Leased
UA,Units Completed
UB,Poultry
UC,Livestock
UD,Passengers
UE,Trainers
UF,Operators
UG,Gas Used on Property
UH,Inspectors
UI,Collectors
UJ,Professionals
UK,Supervisors
UL,Approximate Number of Units for Sale Projected
UM,Administrators
UN,Promoters
UO,Oil Condensate Used on Property
UP,Divisions
UQ,Tables
UR,Fuel Pumps
US,In-Use
UT,Machines
UU,Used
UV,Trademarks Used
UW,Available for Cultivation
UX,Foremen
UY,Travelling Employees
UZ,Freelance Salespersons
V1,Retention Quantity
V2,Available Quantity
V3,Transfer Quantity
V4,Surveys in Average Rating
V5,Vacancies
VA,Volume Shrinkage Adjustment or Allowance
VB,Blank Votes
VC,Cumulative Earned Value
VD,Scattered Votes
VE,Earned Value
VF,Federal Votes
VG,Gas Vented
VH,Schedule Variance
VI,Cumulative Schedule Variance
VJ,Cumulative Variance
VK,Estimate at Complete
VL,At Complete Variance
VM,Variance Adjustment
VN,No Votes
VP,Presidential Votes
VR,Variance
VS,Visits
VT,Votes
VV,Void Votes
VY,Yes Votes
W0,Bankruptcy Petitions
W1,Buyers
W2,Debentures
