"ID(String)","Name(String)"
AAM,Investment Type
AAN,Liability Type
AAO,Projection Type
AAP,Trend Reason
AAQ,NACHA (National Automated Clearing House Association)
AAR,CPA (Canadian Payments Association)
AAS,Proprietary
AAT,Fannie Mae Adjustable Rate Mortgage Plan Codes
AAU,International Classification of Diseases Clinical Modification (ICD-9-CM) Diagnosis Encountered During Examination and Investigation of Individuals and Populations Code
AAV,"International Classification of Diseases Clinical Modification (ICD-9-CM) Vaccination
AAW,Immunization Injection Code
AAX,International Classification of Diseases Clinical Modification (ICD-9-CM) Code
AAY,Current Dental Terminology (CDT) Code
ABF,International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis
ABJ,International Classification of Diseases Clinical Modification (ICD-10-CM) Admitting Diagnosis
ABK,International Classification of Diseases Clinical Modification (ICD-10-CM) Principal Diagnosis
ABN,International Classification of Diseases Clinical Modification (ICD-10-CM) External Cause of Injury Code
ABR,Assigned by Receiver
ABS,Assigned by Sender
ABU,International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis Encountered During Examination and Investigation of Individuals and Populations Code
ABV,"International Classification of Diseases Clinical Modification (ICD-10-CM) Vaccination
ACR,Academic Rank
ADD,International Classification of Diseases Clinical Modification (ICD-10-CM) Primary Diagnosis
ADJ,Accounting Adjustment Method
AJT,Adjustment Type
ALM,Allocation Method
ALP,Alteration Lookup
APE,Activite Principale Exercee (APE) Code
APR,International Classification of Diseases Clinical Modification (ICD-10-CM) Patient's Reason for Visit
ARI,Allocation Rank Indicator
ASD,International Classification of Diseases Clinical Modification (ICD-10-CM) Secondary Diagnosis
ATD,International Classification of Diseases Clinical Modification (ICD-10-CM) Tertiary Diagnosis
ATT,Allocation Transaction Type Code
BBQ,International Classification of Diseases Clinical Modification (ICD-10-PCS) Other Procedure Codes
BBR,International Classification of Diseases Clinical Modification (ICD-10-PCS) Principal Procedure Codes
BCC,Business Change Code
BCR,Business Credit Rating
BPL,Board of Inspection and Survey Part Lookup
BRL,Board of Inspection and Survey Responsibility Lookup
BSL,Board of Inspection and Survey Ship Lookup
BSP,Business Period
BTC,Balance Type Code
BUI,Bid Up Indicator
CAH,Advanced Billing Concepts (ABC) Codes
CFI,Contractual Flow Indicator
CHG,Charge Indicator
CIE,Collision Industry Electronic Commerce Association (CIECA) - Assignment Type
CLP,Cause Lookup
CML,Customer Maintenance Level Lookup
CNC,Change Notice Code
COG,Cognizance Symbol
CPS,Court Party Status
CRC,Complaint Request Code
CSD,Customer Service Designator
CSF,Corporate Statement Filing Code
DAC,Document Availability Code
DBS,"DUN's Standard Industrial Classification (SIC) 2+2
DGO,Dynamic Generator Set Code
DLO,Dynamic Locomotive Tag Code
DLP,Deferral Lookup
DOF,Direction of Flow
DPE,Association of American Railroads Deprescription Exception List
DPL,Association of American Railroads Deprescription Distribution List
DRL,Collision Industry Electronic Commerce Association (CIECA) - Detail Repair Lines Code List
DSR,Data Sets Requested
DSS,Delivery Scheduling Status
EAA,Alabama Campaign Disclosure Report Codes
EAB,Alaska Campaign Disclosure Report Codes
EAC,American Samoa Campaign Disclosure Report Codes
EAD,Arizona Campaign Disclosure Report Codes
EAE,Arkansas Campaign Disclosure Report Codes
EAF,California Campaign Disclosure Report Codes
EAG,Colorado Campaign Disclosure Report Codes
EAH,Connecticut Campaign Disclosure Report Codes
EAI,Delaware Campaign Disclosure Report Codes
EAJ,District of Columbia Campaign Disclosure Report Codes
EAK,Florida Campaign Disclosure Report Codes
EAL,Georgia Campaign Disclosure Report Codes
EAM,Guam Campaign Disclosure Report Codes
EAN,Hawaii Campaign Disclosure Report Codes
EAO,Idaho Campaign Disclosure Report Codes
EAP,Illinois Campaign Disclosure Report Codes
EAQ,Indiana Campaign Disclosure Report Codes
EAR,Iowa Campaign Disclosure Report Codes
EAS,Kansas Campaign Disclosure Report Codes
EAT,Kentucky Campaign Disclosure Report Codes
EAU,Louisiana Campaign Disclosure Report Codes
EAV,Maine Campaign Disclosure Report Codes
EAW,Maryland Campaign Disclosure Report Codes
EAX,Massachusetts Campaign Disclosure Report Codes
EAY,Michigan Campaign Disclosure Report Codes
EAZ,Minnesota Campaign Disclosure Report Codes
EBA,Mississippi Campaign Disclosure Report Codes
EBB,Missouri Campaign Disclosure Report Codes
EBC,Montana Campaign Disclosure Report Codes
EBD,Nebraska Campaign Disclosure Report Codes
EBE,Nevada Campaign Disclosure Report Codes
EBF,New Hampshire Campaign Disclosure Report Codes
EBG,New Jersey Campaign Disclosure Report Codes
EBH,New Mexico Campaign Disclosure Report Codes
EBI,New York Campaign Disclosure Report Codes
EBJ,North Carolina Campaign Disclosure Report Codes
EBK,North Dakota Campaign Disclosure Report Codes
EBL,Ohio Campaign Disclosure Report Codes
EBM,Oklahoma Campaign Disclosure Report Codes
EBN,Oregon Campaign Disclosure Report Codes
EBO,Pennsylvania Campaign Disclosure Report Codes
EBP,Puerto Rico Campaign Disclosure Report Codes
EBQ,Rhode Island Campaign Disclosure Report Codes
EBR,South Carolina Campaign Disclosure Report Codes
EBS,South Dakota Campaign Disclosure Report Codes
EBT,Tennessee Campaign Disclosure Report Codes
EBU,Texas Campaign Disclosure Report Codes
EBV,Utah Campaign Disclosure Report Codes
EBW,Vermont Campaign Disclosure Report Codes
EBX,Virginia Campaign Disclosure Report Codes
EBY,Virgin Islands Campaign Disclosure Report Codes
EBZ,Washington Campaign Disclosure Report Codes
ECA,West Virginia Campaign Disclosure Report Codes
ECB,Wisconsin Campaign Disclosure Report Codes
ECC,Wyoming Campaign Disclosure Report Codes
ECD,Alberta Campaign Disclosure Report Codes
ECE,British Columbia Campaign Disclosure Report Codes
ECF,Manitoba Campaign Disclosure Report Codes
ECG,New Brunswick Campaign Disclosure Report Codes
ECH,Newfoundland Campaign Disclosure Report Codes
ECI,Northwest Territories Campaign Disclosure Report Codes
ECJ,Nova Scotia Campaign Disclosure Report Codes
ECK,Ontario Campaign Disclosure Report Codes
ECL,Prince Edward Island Campaign Disclosure Report Codes
ECM,Quebec Campaign Disclosure Report Codes
ECN,Saskatchewan Campaign Disclosure Report Codes
ECO,Yukon Territory Campaign Disclosure Report Codes
ECP,Federal Campaign Disclosure Report Codes
ECQ,Alabama Lobbyist Report Codes
ECR,Alaska Lobbyist Report Codes
ECS,Arizona Lobbyist Report Codes
ECT,Arkansas Lobbyist Report Codes
ECU,California Lobbyist Report Codes
ECV,Colorado Lobbyist Report Codes
ECW,Connecticut Lobbyist Report Codes
ECX,Delaware Lobbyist Report Codes
ECY,District of Columbia Lobbyist Report Codes
ECZ,Florida Lobbyist Report Codes
EDA,Georgia Lobbyist Report Codes
EDB,Hawaii Lobbyist Report Codes
EDC,Idaho Lobbyist Report Codes
EDD,Illinois Lobbyist Report Codes
EDE,Indiana Lobbyist Report Codes
EDF,Iowa Lobbyist Report Codes
EDG,Kansas Lobbyist Report Codes
EDH,Kentucky Lobbyist Report Codes
EDI,Louisiana Lobbyist Report Codes
EDJ,Maine Lobbyist Report Codes
EDK,Maryland Lobbyist Report Codes
EDL,Massachusetts Lobbyist Report Codes
EDM,Michigan Lobbyist Report Codes
EDN,Minnesota Lobbyist Report Codes
EDO,Mississippi Lobbyist Report Codes
EDP,Missouri Lobbyist Report Codes
EDQ,Montana Lobbyist Report Codes
EDR,Nebraska Lobbyist Report Codes
EDS,Nevada Lobbyist Report Codes
EDT,New Hampshire Lobbyist Report Codes
EDU,New Jersey Lobbyist Report Codes
EDV,New Mexico Lobbyist Report Codes
EDW,New York Lobbyist Report Codes
EDX,North Carolina Lobbyist Report Codes
EDY,North Dakota Lobbyist Report Codes
EDZ,Ohio Lobbyist Report Codes
EEA,Oklahoma Lobbyist Report Codes
EEB,Oregon Lobbyist Report Codes
EEC,Pennsylvania Lobbyist Report Codes
EED,Puerto Rico Lobbyist Report Codes
EEE,Rhode Island Lobbyist Report Codes
EEF,South Carolina Lobbyist Report Codes
EEG,South Dakota Lobbyist Report Codes
EEH,Tennessee Lobbyist Report Codes
EEI,Texas Lobbyist Report Codes
EEJ,Utah Lobbyist Report Codes
EEK,Vermont Lobbyist Report Codes
EEL,Virginia Lobbyist Report Codes
EEM,Washington Lobbyist Report Codes
EEN,West Virginia Lobbyist Report Codes
EEO,Wisconsin Lobbyist Report Codes
EEP,Wyoming Lobbyist Report Codes
EEQ,New York City Campaign Disclosure Report Codes
EER,Seattle Campaign Disclosure Report Codes
EES,New York City Lobbyist Report Codes
EMC,Automotive Aftermarket Industry Association (AAIA) Emission Code
EQR,Equipment Request Codes
ESC,Electrostatic Discharge Code
ESL,Equipment Status Lookup
ETL,Estimate Type Lookup
EWC,Evaluate Work Candidate Lookup
EWR,Evaluate Work Candidate Reason Lookup
EXD,Export Declaration
FAP,Fannie Mae Refinance Plan Code
FC1,"Federal Communication
FF1,Federal Finance Code List 1
FH1,Federal Health Care Code List 1
FIR,Financial Inventory Report Code
FL1,Federal Logistics Code List 1
FMO,Former Major Organizational Entity Rule Number
FMS,Foreign Military Sales and Military Assistance Program Grant Aid Type of Assistance/Financing Code
FP1,Federal Procurement Code List 1
FRP,Freddie Mac Refinance Plan Code
FT1,Federal Transportation Code List 1
HRC,Hazardous Response Codes
HZR,Association of American Railroads Standard Transportation Commodity Code Description Qualifier
IBP,Insurance Business Process Application Error Code
IMC,Item Management Code
IMP,Impact Recorder Code
IND,Intra-Navy Disposal Release Order Reject Advice Code
IPA,Impact Axis or Analog Port Code
